Ticker,Date,Open,High,Low,Close,Volume
,,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
^BSESN,2024-04-09,75124.28125,75124.28125,74603.3671875,74683.703125,41000
^BSESN,2024-04-10,74953.9609375,75105.140625,74807.546875,75038.1484375,7100
^BSESN,2024-04-12,74889.640625,74951.8828125,74189.3125,74244.8984375,15600
^BSESN,2024-04-15,73315.15625,73905.796875,73315.15625,73399.78125,12800
^BSESN,2024-04-16,72892.140625,73135.4296875,72685.03125,72943.6796875,9200
^BSESN,2024-04-18,73183.1015625,73473.046875,72365.671875,72488.9921875,12400
^BSESN,2024-04-19,71999.6484375,73210.171875,71816.4609375,73088.328125,16200
^BSESN,2024-04-22,73666.5078125,73767.796875,73227.3203125,73648.6171875,11100
^BSESN,2024-04-23,74048.9375,74059.890625,73688.3125,73738.453125,6400
^BSESN,2024-04-24,73957.5703125,74121.609375,73788.609375,73852.9375,6600
^BSESN,2024-04-25,73572.34375,74571.25,73556.1484375,74339.4375,11800
^BSESN,2024-04-26,74509.3125,74515.90625,73616.6484375,73730.15625,13700
^BSESN,2024-04-29,73982.75,74721.1484375,73922.34375,74671.28125,9900
^BSESN,2024-04-30,74800.890625,75111.390625,74346.3984375,74482.78125,8400
^BSESN,2024-05-02,74391.7265625,74812.4296875,74360.6875,74611.109375,18400
^BSESN,2024-05-03,75017.8203125,75095.1796875,73467.7265625,73878.1484375,15600
^BSESN,2024-05-06,74196.6796875,74359.6875,73786.2890625,73895.5390625,11200
^BSESN,2024-05-07,73973.296875,74026.796875,73259.2578125,73511.8515625,7900
^BSESN,2024-05-08,73225.0,73684.9296875,73073.921875,73466.390625,6500
^BSESN,2024-05-09,73499.4921875,73499.4921875,72334.1796875,72404.171875,9200
^BSESN,2024-05-10,72475.453125,72946.5390625,72366.2890625,72664.46875,11000
^BSESN,2024-05-13,72476.6484375,72863.5625,71866.0078125,72776.1328125,13900
^BSESN,2024-05-14,72696.71875,73286.2578125,72683.9921875,73104.609375,7100
^BSESN,2024-05-15,73200.2265625,73301.46875,72822.65625,72987.03125,7700
^BSESN,2024-05-16,73338.2421875,73749.46875,72529.96875,73663.71875,9700
^BSESN,2024-05-17,73711.3125,74070.84375,73459.796875,73917.03125,11900
^BSESN,2024-05-21,73842.9609375,74189.1875,73762.3671875,73953.3125,11000
^BSESN,2024-05-22,74165.5234375,74307.7890625,73860.328125,74221.0625,6200
^BSESN,2024-05-23,74253.53125,75499.90625,74158.3515625,75418.0390625,11900
^BSESN,2024-05-24,75335.453125,75636.5,75244.21875,75410.390625,10300
^BSESN,2024-05-27,75655.4609375,76009.6796875,75175.2734375,75390.5,10200
^BSESN,2024-05-28,75585.3984375,75585.3984375,75083.21875,75170.453125,6900
^BSESN,2024-05-29,74826.9375,74986.21875,74454.546875,74502.8984375,8200
^BSESN,2024-05-30,74365.8828125,74493.546875,73668.7265625,73885.6015625,11800
^BSESN,2024-05-31,74208.53125,74478.890625,73765.1484375,73961.3125,19200
^BSESN,2024-06-03,76583.2890625,76738.890625,75678.4296875,76468.78125,19300
^BSESN,2024-06-04,76285.78125,76300.4609375,70234.4296875,72079.046875,39100
^BSESN,2024-06-05,73027.8828125,74534.8203125,71879.4375,74382.2421875,17200
^BSESN,2024-06-06,75078.703125,75297.7265625,74474.9375,75074.5078125,13300
^BSESN,2024-06-07,75031.7890625,76795.3125,74941.8828125,76693.359375,29000
^BSESN,2024-06-10,76935.40625,77079.0390625,76379.7265625,76490.078125,17300
^BSESN,2024-06-11,76680.8984375,76860.53125,76296.4375,76456.59375,6700
^BSESN,2024-06-12,76679.109375,77050.53125,76533.78125,76606.5703125,9700
^BSESN,2024-06-13,77102.046875,77145.4609375,76719.703125,76810.8984375,7500
^BSESN,2024-06-14,76912.3828125,77081.296875,76549.046875,76992.7734375,12400
^BSESN,2024-06-18,77235.3125,77366.7734375,77071.4375,77301.140625,7400
^BSESN,2024-06-19,77543.21875,77851.6328125,76954.8671875,77337.59375,11100
^BSESN,2024-06-20,77554.828125,77643.09375,77100.359375,77478.9296875,8700
^BSESN,2024-06-21,77729.4765625,77808.453125,76802.0,77209.8984375,23200
^BSESN,2024-06-24,76885.6484375,77423.0234375,76745.9375,77341.078125,13900
^BSESN,2024-06-25,77529.1875,78164.7109375,77459.6015625,78053.5234375,8800
^BSESN,2024-06-26,78094.0234375,78759.3984375,77945.9375,78674.25,8600
^BSESN,2024-06-27,78758.671875,79396.03125,78467.34375,79243.1796875,9600
^BSESN,2024-06-28,79457.578125,79671.578125,78905.890625,79032.7265625,17200
^BSESN,2024-07-01,79043.3515625,79561.0,78971.7890625,79476.1875,0
^BSESN,2024-07-02,79840.3671875,79855.8671875,79231.109375,79441.453125,0
^BSESN,2024-07-03,80013.7734375,80074.296875,79754.953125,79986.796875,0
^BSESN,2024-07-04,80321.7890625,80392.640625,79986.40625,80049.671875,8800
^BSESN,2024-07-05,79778.9765625,80149.8671875,79478.9609375,79996.6015625,16200
^BSESN,2024-07-08,79915.0,80067.4609375,79731.828125,79960.3828125,14100
^BSESN,2024-07-09,80107.2109375,80397.171875,79998.5625,80351.640625,6200
^BSESN,2024-07-10,80481.359375,80481.359375,79435.7578125,79924.7734375,9300
^BSESN,2024-07-11,80170.09375,80170.09375,79464.3828125,79897.34375,8200
^BSESN,2024-07-12,80093.6171875,80893.5078125,79843.390625,80519.34375,18400
^BSESN,2024-07-15,80686.5390625,80862.5390625,80556.96875,80664.859375,16200
^BSESN,2024-07-16,80731.4921875,80898.296875,80598.0625,80716.546875,8700
^BSESN,2024-07-18,80514.25,81522.546875,80390.3671875,81343.4609375,9300
^BSESN,2024-07-19,81585.0625,81587.7578125,80499.1015625,80604.6484375,16100
^BSESN,2024-07-22,80408.8984375,80800.921875,80100.6484375,80502.078125,11400
^BSESN,2024-07-23,80724.296875,80766.40625,79224.3203125,80429.0390625,13100
